Sample,Z_1,Z_2,Z_,Z+,Nmen_1,Nmen_2,Nmen_,Nmen+,X_1,X_2,X_,X+,ε_1,ε_2,ε_,ε+,dband_1,dband_2,dband_,dband+,HOMO_1,HOMO_2,HOMO_,HOMO+,LUMO_1,LUMO_2,LUMO_,LUMO+,R_1,R_2,R_,R+,Rp_1,Rp_2,Rp_,Rp+,Rv_1,Rv_2,Rv_,Rv+,E
Ni_Sc,28,21,3.5,24.5,61,11,25,36,1.91,1.36,0.275,1.635,1.16,0.19,0.485,0.675,0.12,1.05,0.465,0.585,-4.39,-3.24,0.575,-3.815,0.51,-0.18,0.345,0.165,1.49,1.84,0.175,1.665,1.57,1.62,0.025,1.595,0.34,0.58,0.12,0.46,0.22 
Ni_Mn,28,25,1.5,26.5,61,52,4.5,56.5,1.91,1.55,0.18,1.73,1.16,0,0.58,0.58,0.12,-0.37,0.245,-0.125,-4.39,-4.4,0.005,-4.395,0.51,1.83,0.66,1.17,1.49,1.61,0.06,1.55,1.57,1.26,0.155,1.415,0.34,0.41,0.035,0.375,0.50 
Ni_Co,28,27,0.5,27.5,61,58,1.5,59.5,1.91,1.88,0.015,1.895,1.16,0.66,0.25,0.91,0.12,-1.39,0.755,-0.635,-4.39,-4.41,0.01,-4.4,0.51,0.24,0.135,0.375,1.49,1.52,0.015,1.505,1.57,1.61,0.02,1.59,0.34,0.36,0.01,0.35,0.42 
Ni_Cu,28,29,0.5,28.5,61,64,1.5,62.5,1.91,1.9,0.005,1.905,1.16,1.23,0.035,1.195,0.12,-1.6,0.86,-0.74,-4.39,-4.61,0.11,-4.5,0.51,1.36,0.425,0.935,1.49,1.45,0.02,1.47,1.57,1.25,0.16,1.41,0.34,1.2,0.43,0.77,1.11 
Ni_Nb,28,41,6.5,34.5,61,47,7,54,1.91,1.6,0.155,1.755,1.16,0.89,0.135,1.025,0.12,3.59,1.735,1.855,-4.39,-4.62,0.115,-4.505,0.51,-0.73,0.62,-0.11,1.49,1.98,0.245,1.735,1.57,1.73,0.08,1.65,0.34,0.77,0.215,0.555,0.29 
Ni_Ru,28,44,8,36,61,56,2.5,58.5,1.91,2.2,0.145,2.055,1.16,1.05,0.055,1.105,0.12,0.47,0.175,0.295,-4.39,-3.6,0.395,-3.995,0.51,1.11,0.3,0.81,1.49,1.78,0.145,1.635,1.57,1.55,0.01,1.56,0.34,0.65,0.155,0.495,0.73 
Ni_Ag,28,47,9.5,37.5,61,65,2,63,1.91,1.93,0.01,1.92,1.16,1.3,0.07,1.23,0.12,-3.39,1.755,-1.635,-4.39,-4.4,0.005,-4.395,0.51,0.97,0.23,0.74,1.49,1.65,0.08,1.57,1.57,1.42,0.075,1.495,0.34,1.32,0.49,0.83,1.21 
Cu_Zr,29,40,5.5,34.5,64,44,10,54,1.9,1.33,0.285,1.615,1.23,0.43,0.4,0.83,-1.6,2.68,2.14,0.54,-4.61,-3.6,0.505,-4.105,1.36,-0.53,0.945,0.415,1.45,2.06,0.305,1.755,1.25,1.76,0.255,1.505,1.2,0.84,0.18,1.02,0.31
Cu_Fe,29,26,1.5,27.5,64,55,4.5,59.5,1.9,1.83,0.035,1.865,1.23,0.16,0.535,0.695,-1.6,1.44,1.52,-0.08,-4.61,-4.42,0.095,-4.515,1.36,-0.53,0.945,0.415,1.45,1.56,0.055,1.505,1.25,1.71,0.23,1.48,1.2,0.38,0.41,0.79,0.36
Co_Mo,27,42,7.5,34.5,58,50,4,54,1.88,2.16,0.14,2.02,0.66,0.75,0.045,0.705,-1.39,1.54,1.465,0.075,-4.41,-4.32,0.045,-4.365,0.24,-0.13,0.185,0.055,1.52,1.9,0.19,1.71,1.61,1.66,0.025,1.635,0.36,0.73,0.185,0.545,0.3
Pt_Fe,78,26,26,52,63,55,4,59,2.28,1.83,0.225,2.055,2.13,0.16,0.985,1.145,-1.23,1.44,1.335,0.105,-5.31,-4.42,0.445,-4.865,0.82,-0.53,0.675,0.145,1.77,1.56,0.105,1.665,1.47,1.71,0.12,1.59,0.67,0.38,0.145,0.525,0.78
Pd_Fe,46,26,10,36,62,55,3.5,58.5,2.2,1.83,0.185,2.015,0.56,0.16,0.2,0.36,-0.68,1.44,1.06,0.38,-4.12,-4.42,0.15,-4.27,-3.43,-0.53,1.45,-1.98,1.69,1.56,0.065,1.625,1.46,1.71,0.125,1.585,0.58,0.38,0.1,0.48,0.5
Au_Zr,79,40,19.5,59.5,66,44,11,55,2.54,1.33,0.605,1.935,2.31,0.43,0.94,1.37,-2.82,2.68,2.75,-0.07,-5.75,-3.6,1.075,-4.675,0.7,-0.53,0.615,0.085,1.74,2.06,0.16,1.9,1.44,1.76,0.16,1.6,1.23,0.84,0.195,1.035,0.32
Ir_Ru,77,44,16.5,60.5,60,56,2,58,2.2,2.2,0,2.2,1.57,1.05,0.26,1.31,-2.48,0.47,1.475,-1.005,-5.69,-3.6,1.045,-4.645,0.51,1.11,0.3,0.81,1.8,1.78,0.01,1.79,1.47,1.55,0.04,1.51,0.69,0.65,0.02,0.67,0.82
