Sample,0,1,2,3,4,5,E
Cu_Rh,-5.09738266,-10.61922308,-3.213749277,-5.986290262,-2.298173056,0.08693522,0.37
Pt_Y,-0.966190227,2.055985522,0.93173122,-0.888827442,2.017248426,2.698148424,0.55
Pd_Os,-4.390584477,-12.04637145,-1.070571276,-2.713126439,-0.921917335,-1.243867066,0.8
Fe_Ti,-1.859792585,-2.226627058,-2.622445046,-5.046271685,0.848686198,-0.026385398,0.92
Fe_W,-2.962419683,-4.580257973,-0.073160306,-4.005130766,-0.996089443,0.900806892,0.74
Ni_Y,1.594783194,9.623639313,12.83070531,6.675176225,7.873512669,6.435923579,0.17
Ni_Mo,1.690580173,5.795933755,4.550235359,1.337326251,2.898361695,3.328270457,0.25
Rh_Ag,-12.44440424,-29.12807941,-16.31072662,-19.54920488,-9.237884296,-8.158907412,1.2
Cu_Sc,6.210222184,9.309241947,10.7441905,9.495977623,9.10984556,5.59685125,0.24
Pd_Y,-2.575897485,0.775236553,4.607462858,2.025023473,3.14143982,1.155978523,0.17
Rh_Nb,2.995555855,6.68722217,4.816332122,5.253099659,8.803407211,1.547302353,0.13
Au_Re,-10.69275858,-19.91332595,-13.42641041,-12.90133775,-5.268326682,-5.395052697,1.4
Cr_V,4.194445315,9.934434805,8.400818404,4.231922822,6.245119019,5.106647538,0.1
Co_Sc,-6.646510957,-10.14765303,-2.324668479,-5.692685706,-3.50614057,-2.515841733,0.7
Ag_Nb,-0.906228784,-6.501951296,-1.08790065,-2.318276099,0.775733216,1.138096382,0.21
W_Ti,0.136824497,0.840740684,1.013722311,-1.184899945,2.03321892,2.252027535,0.13
Ta_Zr,7.786441695,10.40516189,10.47832709,4.47704785,9.200910664,6.883858774,0.16
Hf_Y,4.749745073,7.303338703,7.677553359,2.261269955,5.980562975,7.447557068,0.33
W_Hf,0.814808787,3.283945869,4.882546006,3.358874753,3.107299478,6.177630928,0.14
Ni_Re,1.21881449,1.071508018,3.065954327,0.385222313,2.914163037,2.146588607,0.14
Cu_V,3.892718539,7.392498839,4.532596002,4.290189533,8.596912581,3.797607702,0.09
Ni_ScE,0.527625009,5.819151672,3.980805655,2.739572449,6.697483703,1.953776975,0.22 
Ni_MnE,-2.9166019,1.714811932,-2.346986204,-1.238640918,0.093024046,0.230315586,0.50 
Ni_CoE,-3.190123559,0.242557575,1.758778365,-1.391727134,-2.104355133,1.595992239,0.42 
Ni_CuE,-10.52315016,-24.21140787,-9.42003048,-12.44930357,-6.055377255,-3.248635966,1.11 
Ni_NbE,-0.473325516,3.018076953,1.30253189,-2.036544734,1.324257833,2.119736144,0.29 
Ni_RuE,-2.074330314,-2.850728395,1.303335985,-1.014795622,-0.220906237,1.321151731,0.73 
Ni_AgE,-10.7070225,-25.17854606,-12.07983717,-13.76085485,-7.421350103,-3.424815723,1.21 
Cu_ZrE,2.827784041,2.122843994,7.468423677,6.460431674,7.546017105,3.772218882,0.31
Cu_FeE,-2.930731156,-10.73965578,-2.122013002,-3.236191926,-0.230606659,3.128136243,0.36
Co_MoE,-2.488581631,-1.489238401,2.876246344,0.157728576,-1.146232235,1.762013421,0.3
Pt_FeE,-4.669718191,-5.491887334,-3.583736738,-3.014347919,-2.200283189,0.678411153,0.78
Pd_FeE,0.48458399,-6.709414226,-0.994092408,0.268631893,4.500542083,0.246920058,0.5
Au_ZrE,5.014697379,8.077265313,6.630137933,1.129500113,7.658609891,4.954022,0.32
Ir_RuE,-8.499872523,-16.79178771,-6.028463553,-9.47746233,-4.455085561,-3.985218611,0.82
Pt_IrE,-13.60892564,-26.7588166,-10.13151152,-15.99680961,-4.884909808,-6.704220237,0.89
Rh_WE,-1.412215236,-7.043222018,0.582850288,-1.095973736,0.559126439,-0.166103904,0.49
Ir_ReE,-7.686693248,-9.892836123,-4.336632072,-5.5585549,-3.342186105,-1.885008561,0.55
Au_TiE,-2.806466682,-7.96023233,-3.115617087,-5.725345662,1.528172419,0.497064219,0.61
Ir_MoE,-6.372090645,-10.69847799,-3.517268765,-5.943041808,-2.940960606,-2.197061136,0.72
Ir_TaE,-0.84358309,-0.473070991,1.557757621,-0.846000762,0.634066988,1.620806104,0.5
Mn_VE,1.069395035,-0.09768115,-1.395474099,-1.131826091,3.892692968,1.006534333,0.85
Mn_WE,2.383327482,10.75411421,4.533768159,8.646151691,11.61172089,2.870176421,0.22
Rh_HfE,-4.65207236,-3.640719021,0.258749384,-1.785831898,0.372896668,0.077302441,0.72
Au_ScE,6.658530587,10.12898356,5.113783234,0.316454627,8.802081762,4.69104295,0.2
Ir_CoE,-6.956567274,-13.19381191,-5.429499765,-4.510019866,-3.850556231,-0.791061495,1
Ru_NbE,-0.47282356,-0.840707435,3.727745397,-0.898069184,0.999226075,1.405512473,0.72
Pt_ReE,-5.376462497,-6.644601801,-3.477585183,-4.400653996,-1.012416286,-1.02772607,0.72
Mo_NbE,2.116187856,4.908419342,7.230573697,2.040294947,3.329049411,2.510479822,0.5
Co_TaE,-3.669187218,-5.423878169,3.062922872,-2.649527608,-0.125125867,1.229226102,0.56
Pd_ZrE,-2.139799849,-1.230279559,2.252405177,-1.85810742,1.301039269,-0.244359934,0.31
Mo_WE,1.188252514,4.277795709,5.221076737,1.063908411,1.453784438,1.757105491,0.4
Ru_OsE,-2.230009672,-5.946956892,1.825881774,-1.939130884,0.990961649,-0.278654192,0.67
Ru_TiE,2.323455085,1.416344991,1.212868835,-1.092497327,2.396828157,2.186474462,0.43
Pd_VE,1.867035318,1.563007932,2.268957627,-0.131261096,3.368032253,1.761630404,0.52
Os_VE,-2.994724776,-4.476144852,1.665272521,-1.691848509,0.074416565,1.086263209,0.99
Co_TiE,-0.995801238,-1.780075239,1.502620418,-0.433196579,1.661492731,2.044775107,0.83
Co_NbE,-1.060912148,1.132855609,2.930751165,-0.544281602,-0.104344713,2.017306017,0.73
Au_NbE,-0.764651891,-4.168569623,-1.804897744,-4.995579192,3.401034902,0.040711253,0.39
Ir_ScE,-10.43956232,-20.0620744,-11.61016038,-12.63220586,-9.833712244,-4.040695103,0.95
Rh_ReE,-1.658719012,-9.17104582,-1.296504904,-2.2775679,-0.051821743,-0.313727213,0.56
Cr_NbE,-0.915370359,-0.858451258,2.102726143,-2.740092927,0.815992341,1.615290743,0.36
Pd_TaE,-2.028323176,-2.125674974,1.489371947,-2.698631353,1.02967853,0.146433321,0.38
Fe_ZrE,-5.158281319,-13.70504621,-0.148016706,-7.374870833,-0.572869991,-1.467124627,0.94
Cr_ZrE,-2.984796141,-7.43904783,-0.165328058,-6.067241728,0.360525637,-0.185539876,0.78
V_TaE,-0.379528239,-4.842817904,1.230603001,-5.013823353,2.949327366,1.192271897,0.17
W_ZrE,1.871421902,3.687032951,5.347288815,0.941477776,2.996618741,3.241250725,0.25
Rh_ScE,-8.37528937,-16.46139306,-8.282457456,-8.697318114,-6.447680103,-2.727327036,0.75
Ag_ZrE,-1.434783286,-1.470983348,2.704247226,1.123982467,1.215085235,2.477809699,0.31
Mo_VE,0.482404665,1.988128376,3.502011531,-0.914244928,2.078124206,2.500764025,0.33
Pd_ReE,0.356809192,-8.465890572,2.000112264,1.430642288,5.411346744,1.076548213,0.42
Pt_NbE,-4.648038452,-5.169372899,-1.40372729,-3.67126336,-0.890257813,0.106008168,0.71
Cu_IrE,-1.648432993,-11.01366382,-1.348751273,-3.098833207,1.793875513,1.73028261,0.33
Fe_ReE,-3.493392538,-9.072530465,-0.276239969,-6.161655613,-0.225027349,-0.841609899,0.87
Cr_WE,-1.198563653,-0.605546762,2.392696969,-1.594581639,0.243210079,1.90023872,0.62
Rh_RuE,-4.012827401,-11.8721339,-1.234298883,-5.243828155,-2.35174022,-1.484811318,0.69
Mn_TaE,-4.044046912,-7.980500843,0.235929987,-5.543238446,0.27023,-0.829478335,0.75
Cu_PdE,-6.284441454,-12.29625729,-5.193589846,-6.556149156,-4.817993078,-0.201833127,1.1
Ru_YE,-5.081103556,-3.658157377,0.663156371,-1.524308877,-0.575401174,0.485756092,0.85
Pd_RhE,-4.664857962,-12.01015711,-4.155329661,-4.746839175,-1.628872373,-3.028424571,0.61
Ni_CrE,0.668976731,4.496133204,6.315519077,2.311494712,2.079242378,3.785943343,0.12 
Ru_HfE,-3.790265603,-5.058310829,0.231185124,-3.260018014,0.968894112,0.797719476,0.8
Ni_ZrE,-1.779742859,-1.687356911,2.129381848,-1.404504958,1.709064559,1.428452727,0.29 
Cu_RhE,-4.958752089,-11.14965337,-3.213749277,-5.889354211,-2.298173056,0.08693522,0.37
Pt_YE,-1.076803071,0.189752381,0.93173122,-0.279136795,2.017248426,2.698148424,0.55
Pd_OsE,-3.809733441,-12.2315646,-1.070571276,-2.795951326,-0.921917335,-1.243867066,0.8
Fe_TiE,-1.806775505,-2.263845569,-2.622445046,-5.111302758,0.848686198,-0.026385398,0.92
Fe_WE,-3.105098986,-4.901578857,-0.073160306,-3.135450009,-0.996089443,0.900806892,0.74
Ni_YE,1.60386514,10.0527604,12.83070531,6.545742218,7.873512669,6.435923579,0.17
Ni_MoE,1.12995526,5.643502046,4.550235359,1.849658803,2.898361695,3.328270457,0.25
Rh_AgE,-11.85935619,-28.57148864,-16.31072662,-19.71470813,-9.237884296,-8.158907412,1.2
Cu_ScE,5.260697849,11.38522885,10.7441905,9.332309125,9.10984556,5.59685125,0.24
Pd_YE,-3.642052,-0.079907291,4.607462858,1.743041361,3.14143982,1.155978523,0.17
Rh_NbE,2.884040631,6.688589491,4.816332122,5.629618006,8.803407211,1.547302353,0.13
Au_ReE,-10.27004732,-20.03860129,-13.42641041,-12.3330131,-5.268326682,-5.395052697,1.4
Cr_VE,4.45755328,9.871852892,8.400818404,4.00508737,6.245119019,5.106647538,0.1
Co_ScE,-6.879881428,-9.037131009,-2.324668479,-6.23903447,-3.50614057,-2.515841733,0.7
Ag_NbE,-1.13372485,-6.212617728,-1.08790065,-1.776254502,0.775733216,1.138096382,0.21
W_TiE,0.175663592,0.914868785,1.013722311,-2.119611776,2.03321892,2.252027535,0.13
Ta_ZrE,7.695140451,10.40516189,10.47832709,4.590450733,9.200910664,6.883858774,0.16
Hf_YE,4.328610765,7.193883045,7.677553359,2.5218501,5.980562975,7.447557068,0.33
W_HfE,0.75332885,3.436801333,4.882546006,2.362665117,3.107299478,6.177630928,0.14
Ni_ReE,0.587974879,0.748247989,3.065954327,0.113393389,2.914163037,2.146588607,0.14
Cu_VE,3.784519583,7.5394355,4.532596002,4.464389159,8.596912581,3.797607702,0.09
