Sample,0,1,2,3,4,5
V_Ta,3.737082968,2.03298294,2.041559931,6.015779634,2.332894193,2.652357017
Ni_Re,3.10930002,1.268330441,1.799894747,3.029158575,2.020711873,2.149433063
Ru_W,0.114279788,0.68480109,0.577375717,0.501608545,1.456555672,1.311731804
Sc_Rh,12.76072086,3.105053422,3.303454339,10.6394595,4.089807826,4.259829849
V_Cu,8.841843823,2.719289973,2.568269473,9.276653404,3.858809325,3.785426451
Cr_W,-0.714666609,0.219518438,0.568990551,0.702891886,1.495215004,0.594558356
Cu_Mo,9.626130703,2.500249241,2.672113415,9.226781028,3.691652543,3.659495608
Y_Ru,17.89055701,3.730708115,3.894658317,15.09992021,4.941626167,5.166468912
Zr_W,4.53393948,1.93978636,1.968513826,6.424400402,2.331812429,2.499458764
Nb_Pt,3.884588132,1.950142427,2.207848054,4.638704812,2.467105903,2.295426965
Cr_Co,2.116311067,0.961064582,0.347226847,0.991189431,1.399190025,1.880736231
Zr_Ag,16.95759453,3.611170961,3.459931928,15.51087656,5.058032292,5.035115648
Pd_Re,5.707872981,2.131409028,2.248128791,6.702903406,2.77178644,2.909608931
V_Mo,2.326433429,1.347521692,1.499030407,3.744245278,1.454095858,1.635440365
Fe_Pd,10.60886839,2.536131593,2.758852072,10.34278517,3.647449952,3.94945914
Re_Ir,1.821011825,1.170911555,1.450891387,3.859634672,1.500909775,1.732695614
Ti_Au,11.58801863,2.913378579,3.127226029,11.10104772,4.219801959,4.236765026
Fe_Zr,9.147302072,2.553314644,2.686238433,11.49438968,3.730435116,3.903282891
Cu_Pd,13.85635735,3.201499111,3.472417774,13.52610273,4.602432867,4.730764623
Ti_Mo,2.577926956,1.344042098,1.635738247,3.921328696,1.600638791,1.786606236
Rh_Ag,20.44871117,3.888780074,4.165668431,19.23939045,5.550165196,5.748209688
Ni_Hf,10.02803155,2.716093754,2.74626287,8.353601778,3.763480708,3.754161436
Ni_Ta,10.1111105,2.842261442,3.042546859,9.783179424,4.01035936,4.000495626
Ni_W,10.2376459,2.933296157,3.14184458,11.09062449,4.20671125,4.218506923
Ni_Os,4.313464043,1.565381684,1.873861591,4.697715897,2.441054312,2.623356211
Ni_Ir,6.262566024,1.937342903,2.372345618,6.24720833,2.864490353,3.115440111
Ni_Pt,12.75751713,3.059804407,3.363174033,12.13285864,4.323479755,4.548059878
Ni_Au,16.05655202,3.160033937,3.529582441,14.3837011,4.647296067,4.940930319
Sc_Ti,12.1206144,2.978240072,3.496133235,12.10158604,3.922358067,4.320256763
Sc_V,13.85247215,3.37013369,3.822042076,14.18002598,4.508037891,4.831608773
Sc_Cr,14.7267223,3.601561282,3.996689291,15.08550459,4.828259804,5.110260082
Sc_Mn,10.54468478,3.130991469,3.410112303,10.78940163,4.05330264,4.377210228
Sc_Fe,33.21530767,5.486809865,5.677046345,34.59934906,7.748967517,7.893023011
Sc_Co,19.61009909,4.082503154,4.306121432,18.59849814,5.729484518,5.870804739
Sc_Y,21.33961932,3.141350708,3.921933449,20.776259,3.999901587,4.913178419
Sc_Zr,15.60963898,3.455953592,3.938764838,15.65520362,4.528997727,4.931407646
Sc_Nb,16.26578218,3.545821697,3.966809627,16.70224443,4.782295287,5.076540997
Sc_Mo,10.98364791,2.858426084,3.261228766,10.39327365,3.764276347,4.043099784
Sc_Ru,11.42773343,3.037868866,3.296073275,8.872365342,3.846754782,4.061172656
Sc_Pd,13.93195034,3.226704172,3.558514982,11.43329842,4.344807733,4.470726234
Sc_Hf,17.10242249,3.757619961,4.162547937,16.8856843,4.888973381,5.287786067
Sc_Ta,15.48342709,3.584748304,3.933250579,15.45366773,4.720824058,5.049296114
Sc_W,9.951311602,2.770560181,3.194952846,9.600586836,3.593835784,3.92780454
Sc_Re,16.44527929,3.847049188,4.119163684,17.67896069,5.287151443,5.457944383
Sc_Pt,11.63702274,3.066572848,3.545271204,9.134467019,4.098821325,4.122374654
Ti_V,0.210973368,0.660299342,1.363167907,2.200587035,0.632550473,1.31228781
Ti_Cr,-0.111406567,0.924824013,1.444868704,1.864202568,0.449975899,1.450973941
Ti_Mn,0.124483527,1.117098513,1.215666276,1.685429326,0.655473354,1.503507265
Ti_Fe,3.510354079,1.500357863,1.412627673,4.282252311,2.334527181,2.608354564
Ti_Y,22.95861566,4.287359945,4.638491514,27.03747942,5.84256575,6.381905818
