Sample,Z_1,Z_2,Z_,Z+,Nmen_1,Nmen_2,Nmen_,Nmen+,X_1,X_2,X_,X+,I1_1,I1_2,I1_1_,I1_1+,ε_1,ε_2,ε_,ε+,dband_1,dband_2,dband_,dband+,HOMO_1,HOMO_2,HOMO_,HOMO+,LUMO_1,LUMO_2,LUMO_,LUMO+,R_1,R_2,R_,R+,Rp_1,Rp_2,Rp_,Rp+,Rv_1,Rv_2,Rv_,Rv+,r
Mn_V,25,23,1,24,52,46,3,49,1.55,1.63,0.04,1.59,7.43,6.75,0.34,7.09,0,0.52,0.26,0.26,-0.37,3.73,2.05,1.68,-4.4,-4.47,0.035,-4.435,1.83,0.13,0.85,0.98,1.61,1.71,0.05,1.66,1.26,1.47,0.105,1.365,0.41,0.48,0.035,0.445,3.83 
Mn_W,25,74,24.5,49.5,52,51,0.5,51.5,1.55,2.36,0.405,1.955,7.43,7.98,0.275,7.705,0,0.82,0.41,0.41,-0.37,1.69,1.03,0.66,-4.4,-4.49,0.045,-4.445,1.83,-0.37,1.1,0.73,1.61,1.93,0.16,1.77,1.26,1.61,0.175,1.435,0.41,0.79,0.19,0.6,3.32 
Rh_Hf,45,72,13.5,58.5,59,45,7,52,2.28,1.3,0.49,1.79,7.46,6.83,0.315,7.145,1.14,0,0.57,0.57,-1.9,3.47,2.685,0.785,-3.5,-2.69,0.405,-3.095,-3.32,-0.48,1.42,-1.9,1.73,2.08,0.175,1.905,1.5,1.73,0.115,1.615,0.61,0.9,0.145,0.755,2.06 
Au_Sc,79,21,29,50,66,11,27.5,38.5,2.54,1.36,0.59,1.95,9.23,6.56,1.335,7.895,2.31,0.19,1.06,1.25,-2.82,1.05,1.935,-0.885,-5.75,-3.24,1.255,-4.495,0.7,-0.18,0.44,0.26,1.74,1.84,0.05,1.79,1.44,1.62,0.09,1.53,1.23,0.58,0.325,0.905,1.65 
Ir_Co,77,27,25,52,60,58,1,59,2.2,1.88,0.16,2.04,9.12,7.88,0.62,8.5,1.57,0.66,0.455,1.115,-2.48,-1.39,0.545,-1.935,-5.69,-4.41,0.64,-5.05,0.51,0.24,0.135,0.375,1.8,1.52,0.14,1.66,1.47,1.61,0.07,1.54,0.69,0.36,0.165,0.525,3.06 
Pt_Re,78,75,1.5,76.5,63,54,4.5,58.5,2.28,1.9,0.19,2.09,9.02,7.88,0.57,8.45,2.13,0.15,0.99,1.14,-1.23,1.33,1.28,0.05,-5.31,-5.37,0.03,-5.34,0.82,-0.27,0.545,0.275,1.77,1.88,0.055,1.825,1.47,1.55,0.04,1.51,0.67,0.75,0.04,0.71,2.75 
Mo_Nb,42,41,0.5,41.5,50,47,1.5,48.5,2.16,1.6,0.28,1.88,7.09,6.76,0.165,6.925,0.75,0.89,0.07,0.82,1.54,3.59,1.025,2.565,-4.32,-4.62,0.15,-4.47,-0.13,-0.73,0.3,-0.43,1.9,1.98,0.04,1.94,1.66,1.73,0.035,1.695,0.73,0.77,0.02,0.75,3.33 
Co_Ta,27,73,23,50,58,48,5,53,1.88,1.5,0.19,1.69,7.88,7.89,0.005,7.885,0.66,0.32,0.17,0.49,-1.39,3.22,2.305,0.915,-4.41,-3.6,0.405,-4.005,0.24,-0.44,0.34,-0.1,1.52,2,0.24,1.76,1.61,1.66,0.025,1.635,0.36,0.84,0.24,0.6,3.01 
Pd_Zr,46,40,3,43,62,44,9,53,2.2,1.33,0.435,1.765,8.34,6.63,0.855,7.485,0.56,0.43,0.065,0.495,-0.68,2.68,1.68,1,-4.12,-3.6,0.26,-3.86,-3.43,-0.53,1.45,-1.98,1.69,2.06,0.185,1.875,1.46,1.76,0.15,1.61,0.58,0.84,0.13,0.71,2.08 
Mo_W,42,74,16,58,50,51,0.5,50.5,2.16,2.36,0.1,2.26,7.09,7.98,0.445,7.535,0.75,0.82,0.035,0.785,1.54,1.69,0.075,1.615,-4.32,-4.49,0.085,-4.405,-0.13,-0.37,0.12,-0.25,1.9,1.93,0.015,1.915,1.66,1.61,0.025,1.635,0.73,0.79,0.03,0.76,2.85 
Ru_Os,44,76,16,60,56,57,0.5,56.5,2.2,2.2,0,2.2,7.36,8.71,0.675,8.035,1.05,1.1,0.025,1.075,0.47,-0.3,0.385,0.085,-3.6,-6.01,1.205,-4.805,1.11,-0.07,0.59,0.52,1.78,1.85,0.035,1.815,1.55,1.51,0.02,1.53,0.65,0.72,0.035,0.685,3.45 
Ru_Ti,44,22,11,33,56,43,6.5,49.5,2.2,1.54,0.33,1.87,7.36,6.83,0.265,7.095,1.05,0.08,0.485,0.565,0.47,2.79,1.16,1.63,-3.6,-4.25,0.325,-3.925,1.11,-0.17,0.64,0.47,1.78,1.76,0.01,1.77,1.55,1.54,0.005,1.545,0.65,0.52,0.065,0.585,3.42 
Pd_V,46,23,11.5,34.5,62,46,8,54,2.2,1.63,0.285,1.915,8.34,6.75,0.795,7.545,0.56,0.52,0.02,0.54,-0.68,3.73,2.205,1.525,-4.12,-4.47,0.175,-4.295,-3.43,0.13,1.78,-1.65,1.69,1.71,0.01,1.7,1.46,1.47,0.005,1.465,0.58,0.48,0.05,0.53,3.01 
Os_V,76,23,26.5,49.5,57,46,5.5,51.5,2.2,1.63,0.285,1.915,8.71,6.75,0.98,7.73,1.1,0.52,0.29,0.81,-0.3,3.73,2.015,1.715,-6.01,-4.47,0.77,-5.24,-0.07,0.13,0.1,0.03,1.85,1.71,0.07,1.78,1.51,1.47,0.02,1.49,0.72,0.48,0.12,0.6,3.39 
Co_Ti,27,22,2.5,24.5,58,43,7.5,50.5,1.88,1.54,0.17,1.71,7.88,6.83,0.525,7.355,0.66,0.08,0.29,0.37,-1.39,2.79,2.09,0.7,-4.41,-4.25,0.08,-4.33,0.24,-0.17,0.205,0.035,1.52,1.76,0.12,1.64,1.61,1.54,0.035,1.575,0.36,0.52,0.08,0.44,2.42 
Co_Nb,27,41,7,34,58,47,5.5,52.5,1.88,1.6,0.14,1.74,7.88,6.76,0.56,7.32,0.66,0.89,0.115,0.775,-1.39,3.59,2.49,1.1,-4.41,-4.62,0.105,-4.515,0.24,-0.73,0.485,-0.245,1.52,1.98,0.23,1.75,1.61,1.73,0.06,1.67,0.36,0.77,0.205,0.565,2.94 
Au_Nb,79,41,19,60,66,47,9.5,56.5,2.54,1.6,0.47,2.07,9.23,6.76,1.235,7.995,2.31,0.89,0.71,1.6,-2.82,3.59,3.205,0.385,-5.75,-4.62,0.565,-5.185,0.7,-0.73,0.715,-0.015,1.74,1.98,0.12,1.86,1.44,1.73,0.145,1.585,1.23,0.77,0.23,1,2.32 
Ir_Sc,77,21,28,49,60,11,24.5,35.5,2.2,1.36,0.42,1.78,9.12,6.56,1.28,7.84,1.57,0.19,0.69,0.88,-2.48,1.05,1.765,-0.715,-5.69,-3.24,1.225,-4.465,0.51,-0.18,0.345,0.165,1.8,1.84,0.02,1.82,1.47,1.62,0.075,1.545,0.69,0.58,0.055,0.635,2.48 
Rh_Re,45,75,15,60,59,54,2.5,56.5,2.28,1.9,0.19,2.09,7.46,7.88,0.21,7.67,1.14,0.15,0.495,0.645,-1.9,1.33,1.615,-0.285,-3.5,-5.37,0.935,-4.435,-3.32,-0.27,1.525,-1.795,1.73,1.88,0.075,1.805,1.5,1.55,0.025,1.525,0.61,0.75,0.07,0.68,3.14 
Cr_Nb,24,41,8.5,32.5,49,47,1,48,1.66,1.6,0.03,1.63,6.77,6.76,0.005,6.765,0.67,0.89,0.11,0.78,2.7,3.59,0.445,3.145,-4.47,-4.62,0.075,-4.545,0.49,-0.73,0.61,-0.12,1.66,1.98,0.16,1.82,1.41,1.73,0.16,1.57,0.44,0.77,0.165,0.605,3.29 
Pd_Ta,46,73,13.5,59.5,62,48,7,55,2.2,1.5,0.35,1.85,8.34,7.89,0.225,8.115,0.56,0.32,0.12,0.44,-0.68,3.22,1.95,1.27,-4.12,-3.6,0.26,-3.86,-3.43,-0.44,1.495,-1.935,1.69,2,0.155,1.845,1.46,1.66,0.1,1.56,0.58,0.84,0.13,0.71,2.91 
Fe_Zr,26,40,7,33,55,44,5.5,49.5,1.83,1.33,0.25,1.58,7.9,6.63,0.635,7.265,0.16,0.43,0.135,0.295,1.44,2.68,0.62,2.06,-4.42,-3.6,0.41,-4.01,-0.53,-0.53,0,-0.53,1.56,2.06,0.25,1.81,1.71,1.76,0.025,1.735,0.38,0.84,0.23,0.61,2.48 
Cr_Zr,24,40,8,32,49,44,2.5,46.5,1.66,1.33,0.165,1.495,6.77,6.63,0.07,6.7,0.67,0.43,0.12,0.55,2.7,2.68,0.01,2.69,-4.47,-3.6,0.435,-4.035,0.49,-0.53,0.51,-0.02,1.66,2.06,0.2,1.86,1.41,1.76,0.175,1.585,0.44,0.84,0.2,0.64,2.01 
V_Ta,23,73,25,48,46,48,1,47,1.63,1.5,0.065,1.565,6.75,7.89,0.57,7.32,0.52,0.32,0.1,0.42,3.73,3.22,0.255,3.475,-4.47,-3.6,0.435,-4.035,0.13,-0.44,0.285,-0.155,1.71,2,0.145,1.855,1.47,1.66,0.095,1.565,0.48,0.84,0.18,0.66,2.68 
W_Zr,74,40,17,57,51,44,3.5,47.5,2.36,1.33,0.515,1.845,7.98,6.63,0.675,7.305,0.82,0.43,0.195,0.625,1.69,2.68,0.495,2.185,-4.49,-3.6,0.445,-4.045,-0.37,-0.53,0.08,-0.45,1.93,2.06,0.065,1.995,1.61,1.76,0.075,1.685,0.79,0.84,0.025,0.815,2.42 
Rh_Sc,45,21,12,33,59,11,24,35,2.28,1.36,0.46,1.82,7.46,6.56,0.45,7.01,1.14,0.19,0.475,0.665,-1.9,1.05,1.475,-0.425,-3.5,-3.24,0.13,-3.37,-3.32,-0.18,1.57,-1.75,1.73,1.84,0.055,1.785,1.5,1.62,0.06,1.56,0.61,0.58,0.015,0.595,2.25 
Ag_Zr,47,40,3.5,43.5,65,44,10.5,54.5,1.93,1.33,0.3,1.63,7.58,6.63,0.475,7.105,1.3,0.43,0.435,0.865,-3.39,2.68,3.035,-0.355,-4.4,-3.6,0.4,-4,0.97,-0.53,0.75,0.22,1.65,2.06,0.205,1.855,1.42,1.76,0.17,1.59,1.32,0.84,0.24,1.08,1.95 
Mo_V,42,23,9.5,32.5,50,46,2,48,2.16,1.63,0.265,1.895,7.09,6.75,0.17,6.92,0.75,0.52,0.115,0.635,1.54,3.73,1.095,2.635,-4.32,-4.47,0.075,-4.395,-0.13,0.13,0.13,0,1.9,1.71,0.095,1.805,1.66,1.47,0.095,1.565,0.73,0.48,0.125,0.605,3.61 
Pd_Re,46,75,14.5,60.5,62,54,4,58,2.2,1.9,0.15,2.05,8.34,7.88,0.23,8.11,0.56,0.15,0.205,0.355,-0.68,1.33,1.005,0.325,-4.12,-5.37,0.625,-4.745,-3.43,-0.27,1.58,-1.85,1.69,1.88,0.095,1.785,1.46,1.55,0.045,1.505,0.58,0.75,0.085,0.665,2.58 
