Sample,0,1,2,3,4,5,r
Ag_Nb,16.58238702,3.374596604,3.446913497,15.39637708,4.909535532,4.989703735,2.26 
Ta_Zr,8.343883322,2.405236774,2.644004334,10.34464368,3.17623276,3.400993009,2.36 
Rh_Mo,2.64556871,1.104661303,1.411808866,2.88679821,1.570713874,1.459785926,3.24 
Au_Ag,19.29925661,3.684520364,3.795797153,17.40851021,5.151610006,5.379298592,1.37 
Au_Cu,18.69570637,3.515486237,3.591715528,15.9161029,4.955392468,5.284546576,1.78 
Ni_Mo,3.529470099,1.319613733,1.621935998,2.853071488,2.115548393,2.049783803,3.17 
Re_Hf,6.803277877,2.387400771,2.47035843,9.214531068,3.074332663,3.276142065,3.19 
Re_Zr,5.335700643,2.095305416,2.270781535,8.759059527,2.792085248,2.970802203,2.99 
Ru_Zr,6.30785103,2.221832652,2.301075814,6.866478283,2.846385671,2.95001903,2.73 
Co_Ru,4.873167368,1.636923376,1.88403123,3.625746606,2.184427992,2.465670676,3.06 
Cu_Co,11.36468913,2.650022671,3.034183263,10.07680311,3.978030529,4.088101474,2.38 
Ir_Os,0.799348864,1.257950076,1.111542837,2.301615786,0.726265587,1.275680474,3.48 
Mn_Hf,7.151909428,2.610166408,2.76929078,9.392705834,3.373195664,3.644794742,2.49 
Os_W,-2.16730312,0.943590328,1.353052327,0.336370455,1.722974892,0.557275807,3.47 
Re_W,-0.793608467,1.159515586,0.59851533,2.037538319,1.654635035,1.164317079,3.48 
Mo_Ti,2.372768564,1.125502527,1.571776454,4.137817103,1.362223139,1.682033611,3.01 
Ag_Pd,18.69862611,3.62806198,3.851976279,16.87842912,5.133666312,5.370802477,1.67 
Cu_Sc,20.91696832,3.957969805,4.264605498,21.49175678,5.702587656,5.888238285,1.72 
Ni_ScE,17.78331353,3.820053609,3.987672262,15.40491251,5.336005779,5.434008439,1.72 
Ni_MnE,6.840327963,1.998345614,2.291666426,4.909576391,2.785086019,3.244708282,2.48 
Ni_CoE,8.386335231,1.672029305,2.106380892,4.386071273,2.62976235,3.314847825,2.72 
Ni_CuE,12.00806213,2.754019599,3.173993119,10.70352871,4.084689073,4.21882311,2.42 
Ni_NbE,4.682270954,2.047769553,1.803516195,4.97857874,2.827055585,2.703719029,3.01 
Ni_RuE,7.021730422,2.071035651,2.376505411,5.569909728,2.881230614,3.132332483,2.85 
Ni_AgE,17.71613915,3.366072902,3.734705193,14.93509644,4.884061051,5.148119601,1.67 
Cu_ZrE,11.34256184,3.054378503,2.899047073,11.81925573,4.372097069,4.176473647,2.11 
Cu_FeE,10.79839334,2.565328363,2.880607625,10.73864161,3.971846876,4.119536482,2.37 
Co_MoE,1.082588194,0.760254348,0.438729439,1.474652175,1.445436992,1.277664097,3.52 
Pt_FeE,19.49851544,4.08448937,4.184391422,20.50233136,5.781009298,5.923670718,1.09 
Pd_FeE,10.60886839,2.536131593,2.758852072,10.34278517,3.647449952,3.94945914,2.36 
Au_ZrE,13.81611254,3.215891929,3.426302667,12.6762934,4.496569052,4.478527399,2.02 
Ir_RuE,3.299503577,1.299876174,1.801543331,2.998746603,1.526391546,1.920701818,3.35 
Pt_IrE,5.254754388,2.127782882,2.251254806,4.935040936,2.308087856,2.705443366,2.70 
Rh_WE,1.888178968,1.035947035,1.233978255,2.833130045,1.268790687,1.442507353,3.55 
Ir_ReE,1.821011825,1.170911555,1.450891387,3.859634672,1.500909775,1.732695614,3.38 
Au_TiE,11.58801863,2.913378579,3.127226029,11.10104772,4.219801959,4.236765026,2.17 
Ir_MoE,0.901177913,0.767948735,1.32369519,1.907958607,0.837381257,0.859669993,3.40 
Ir_TaE,3.77706792,1.842655949,1.914222678,4.996523809,2.54613674,2.42884852,3.39 
Mn_VE,-0.846616534,0.680454916,0.505016135,0.07387697,1.304503187,0.681159473,3.83 
Mn_WE,-1.504389947,1.014279125,0.823504464,0.34023563,1.575260441,0.997408778,3.32 
Rh_HfE,9.647229841,2.84026126,2.756225462,9.537231792,3.663231873,3.603507334,2.06 
Au_ScE,19.15837948,3.740371507,4.152258507,15.85802045,5.301752005,5.381313449,1.65 
Ir_CoE,5.08446475,1.783553554,2.051094207,5.762726123,2.629413447,2.875943851,3.06 
Pt_ReE,7.852591749,2.548529251,2.702381107,9.101953782,3.414495435,3.566949376,2.75 
Mo_NbE,3.658038885,1.427683763,1.556909254,5.333690178,1.654684414,1.835122647,3.33 
Co_TaE,4.956827127,1.971869236,2.21794358,5.732508867,2.983937886,2.917895979,3.01 
Pd_ZrE,8.3601162,2.671502866,2.639865947,9.075804829,3.541082464,3.351761295,2.08 
Mo_WE,-0.289888421,1.289692543,1.288443688,1.593994869,1.711085127,0.282234694,2.85 
Ru_OsE,0.338659828,0.886159867,0.733504108,0.342196696,1.133849968,1.15512824,3.45 
Ru_TiE,2.534901966,1.645595802,1.657592951,2.271000086,1.706668696,1.78266855,3.42 
Pd_VE,4.125313264,1.840956001,1.824753468,4.057693231,2.324877059,2.369461624,3.01 
Os_VE,-1.450396813,0.447438424,0.876473138,1.278508761,0.191984701,0.591799986,3.39 
Co_TiE,4.316325881,1.792178965,1.645729547,4.336142116,2.653019093,2.788915101,2.42 
Co_NbE,3.078603844,1.679362755,1.427026957,4.454652965,2.426775349,2.303951521,2.94 
Au_NbE,12.42835253,2.959865415,3.218064943,11.98313028,4.180232974,4.293172974,2.32 
Ir_ScE,10.30095816,2.950637247,3.49790466,9.399943207,3.972571614,4.044609878,2.48 
Rh_ReE,5.33661919,2.037878102,2.25723912,7.50508038,2.657497306,2.766684665,3.14 
Cr_NbE,1.520553083,1.263763962,1.587467505,3.174155715,1.086354285,1.479010888,3.29 
Pd_TaE,7.66133601,2.40045446,2.535559873,8.254944798,3.270692637,3.215639879,2.91 
Fe_ZrE,9.304769539,2.769298844,2.715390282,11.32765904,3.957880837,4.027427443,2.48 
Cr_ZrE,6.982279367,2.724591036,2.865198919,9.692191851,3.507472159,3.699378184,2.01 
V_TaE,3.678828238,1.795596257,2.027242517,6.22543648,2.387186243,2.677190979,2.68 
W_ZrE,4.53393948,1.93978636,1.968513826,6.424400402,2.331812429,2.499458764,2.42 
Rh_ScE,12.76072086,3.105053422,3.303454339,10.6394595,4.089807826,4.259829849,2.25 
Ag_ZrE,16.95759453,3.611170961,3.459931928,15.51087656,5.058032292,5.035115648,1.95 
Mo_VE,2.326433429,1.347521692,1.499030407,3.744245278,1.454095858,1.635440365,3.61 
Pd_ReE,5.592142068,1.958393275,2.222240344,7.056945361,2.569128725,2.737409529,2.58 
Pt_NbE,3.884588132,1.950142427,2.207848054,4.638704812,2.467105903,2.295426965,2.94 
Cu_IrE,11.79399351,3.167853793,3.181382884,12.51766289,4.252928547,4.393932878,2.41 
Fe_ReE,0.224868995,1.156464548,0.326689403,2.486076058,0.931758055,0.935421956,3.30 
Cr_WE,-0.721193601,0.873945282,0.574697519,0.422254044,1.275619221,0.813052105,4.05 
Rh_RuE,4.700436476,1.677251722,2.070506068,3.121883631,2.033049793,2.385160997,3.05 
Mn_TaE,2.677718378,1.793319026,2.007955373,5.138600033,2.272528509,2.480291236,3.54 
Cu_PdE,13.77103377,3.308948952,3.46011006,13.73331421,4.675752024,4.8115998,2.17 
Ru_YE,17.89055701,3.730708115,3.894658317,15.09992021,4.941626167,5.166468912,1.99 
Pd_RhE,8.431498442,2.145580086,2.347781898,6.800062067,2.679213582,3.076939132,2.43 
Ni_CrE,4.566437136,1.654821179,1.403942974,3.052487242,2.278484294,2.657569938,3.37 
Ru_HfE,8.257218413,2.713373254,2.693712523,7.593337899,3.381083813,3.417333565,2.96 
Ni_ZrE,8.322535713,2.681469357,2.465675158,7.861711525,3.707786848,3.590638932,1.92 
Pt_YE,17.88890787,3.75079803,4.149270658,14.71097901,5.077324612,5.144812885,1.49 
Pd_OsE,4.114417189,1.788163714,1.892651019,5.084248311,2.044302431,2.344888148,2.43 
Fe_TiE,3.510354079,1.500357863,1.412627673,4.282252311,2.334527181,2.608354564,3.28 
